variable,category,label,type,unit,question
gender,General,Gender,categorical,Male/Female,What is your gender?
age,General,Age,integer,Years,What is your age?
ethniceng,Ethnic,NZEuropean,categorical,Yes/No,Which ethnic group do you belong to?
ethnicmri,Ethnic,Maori,categorical,Yes/No,Which ethnic group do you belong to?
ethnicwsm,Ethnic,Samoan,categorical,Yes/No,Which ethnic group do you belong to?
ethniccok,Ethnic,Cook Island,categorical,Yes/No,Which ethnic group do you belong to?
ethnicton,Ethnic,Tongan,categorical,Yes/No,Which ethnic group do you belong to?
ethnicniu,Ethnic,Niuean,categorical,Yes/No,Which ethnic group do you belong to?
ethnicchn,Ethnic,Chinese,categorical,Yes/No,Which ethnic group do you belong to?
ethnicind,Ethnic,Indian,categorical,Yes/No,Which ethnic group do you belong to?
languages,General,Languages,integer,Number of Languages,In how many languages can you hold a conversation about a lot of every day things?
handed,Physical,Handed,categorical,Right/Left/Ambidextrous,"Are you right-handed, left-handed, or ambidextrous?"
height,Physical,Height,integer,Centimetres,What is your height (nearest cm)?
rightfoot,Physical,Right Foot,integer,Centimetres,"What is the length of your right foot, without a shoe (nearest cm)?"
armspan,Physical,Arm Span,integer,Centimetres,What is your arm span (nearest cm)?
wrist,Physical,Wrist,integer,Centimetres,What is the circumference of your left wrist (nearest cm)?
neck,Physical,Neck,integer,Centimetres,What is the circumference of your neck (nearest cm)?
popliteal,Physical,Popliteal,integer,Centimetres,What is your popliteal length (nearest cm)?
indexfinger,Physical,Index Finger,integer,Millimetres,What is the length of your left index finger (nearest mm)?
ringfinger,Physical,Ring Finger,integer,Millimetres,What is the length of your left ring finger (nearest mm)?
travel,Other,Transport,categorical,Means of Transport,What is the main way you usually get to school?
timetravel,Time,Travel Time,integer,Means of Travel,What is the main way you usually get to school?
bagweight,Bag,Weight,float,Kilograms,What is the weight of your school bag?
bagcarry,Bag,Carry,categorical,Means of Carrying,How do you usually carry your bag?
favlearning,Other,Fav. Learning,categorical,Favourite Learning Area,What is your favourite learning area?
memory,Physical,Memory,integer,Seconds,How quickly can you match all the pairs of pictures in the memory test (nearest second)?
reaction,Physical,Reaction,integer,Seconds,How fast is your reaction time (nearest second)?
techtv,Technology,TV,categorical,Yes/No,Do you have a TV?
techmp3,Technology,MP3,categorical,Yes/No,Do you have an mp3 player?
techinternet,Technology,Internet,categorical,Yes/No,Do you have internet access on your computer?
techmobinternet,Technology,Mobile Internet,categorical,Yes/No,Do you have internet access on your cell phone?
techfacebook,Technology,Facebook,categorical,Yes/No,Do you have a Facebook account?
techtwitter,Technology,Twitter,categorical,Yes/No,Do you have a Twitter account?
techbebo,Technology,Bebo,categorical,Yes/No,Do you have a Bebo account?
techmyspace,Technology,MySpace,categorical,Yes/No,Do you have a MySpace account?
techskype,Technology,Skype,categorical,Yes/No,Do you have a Skype account?
techconsole,Technology,Console,categorical,Yes/No,Do you have a gaming console?
technone,Technology,None,categorical,Yes/No,I don't use any of the forms of technology listed.
cellmonths,Cell Phone,Months,integer,Months,How long have you had your current cell phone for?
importwarm,Importance,Global Warming,integer,Scale of 0-100,"On a scale of 0 to 100, How important is global warming to you?"
importpollution,Importance,Pollution,integer,Scale of 0-100,"On a scale of 0 to 100, How important is reducing pollution to you?"
importrecycling,Importance,Recycling,integer,Scale of 0-100,"On a scale of 0 to 100, How important is recycling rubbish to you?"
importwater,Importance,Water,integer,Scale of 0-100,"On a scale of 0 to 100, How important is conserving water to you?"
importlifestyle,Importance,Lifestyle,integer,Scale of 0-100,"On a scale of 0 to 100, How important is a healthy lifestyle to you?"
importenergy,Importance,Energy,integer,Scale of 0-100,"On a scale of 0 to 100, How important is conserving energy to you?"
importgovern,Importance,Government,integer,Scale of 0-100,"On a scale of 0 to 100, How important is a stable government to you?"
importcomputer,Importance,Computer,integer,Scale of 0-100,"On a scale of 0 to 100, How important is owning a computer to you?"
timetaken,Time,Time Taken,integer,Minutes,How long does it take you to get to school (nearest minute)?
